freq	word
102	!
4	!!
2	!!!
1	!!!"
2	!!clean!!
2	!!leveled
1	"""t"""
4	""bumble
2	""limited"""
1	""rally
3	""s""
2	""sl"""
1	""special
2	""sport"""
1	"$362.47,
1	",,,,,,,"
4	",2012,2013,
4	",2017,2016,2015
3	"-2018
2	"08'
1	"135,826"
42	"1500
1	"1500,
1	"155,037"
1	"1928
1	"1974chevrolet
1	"1981
1	"1999
3	"2
1	"200
1	"2010
2	"2017,16,15,
6	"2018,
2	"2018,2017,2016,
12	"2018,2017,2016,2015
30	"2500
6	"3
1	"3-series
1	"328i
1	"335
2	"3500
3	"40k
62	"4runner
1	"500
1	"51
1	"650i
1	"7
1	"86
1	"944,
4	"ALL
1	"BMW,
1	"CHEVY,SILVERADO
1	"Cars,Trucks,Vans,Suvs"
1	"Chevrolt,
2	"Chevy,
1	"Chevy,Ford,
1	"Chevy,Ford,Kia,
1	"Chrysler,
1	"Corvettes,
1	"E350,
1	"F-250
1	"Focus,
6	"Ford,
1	"Ford,Excursion
1	"Freightliner,
51	"GMC,
1	"GRAND
4	"HONDA,TOYOTA,NISSAN,CHEVY"
1	"HONDAS,
1	"HUDSON,WASP"
1	"Hustler
1	"Hyundai,
1	"IH,
3	"ISUZU
2	"Isuzu
1	"Jeep,
1	"Nissan,
1	"Pontiac,coupe"
1	"Saab
3	"Toyota,
1	"Zap
1	"a3,
5	"a4
13	"a6
2	"accord
1	"amg,
1	"armada,platinum"
1	"avenger,
1	"belair
1	"c
1	"c-300
1	"c10/k10
1	"c300
1	"c50,
1	"camaro
1	"camry
1	"canyon
1	"cargo
13	"cayenne
1	"challenger
1	"charger
1	"chassis
6	"civic
1	"colorado
3	"cooper
1	"cooper,
1	"cr-v
1	"cr-v,
2	"crosstrek
2	"cruze
6	"cruze,
1	"durango
2	"e-350
1	"e-series
3	"e350
8	"edge
1	"elantra
1	"encore
2	"equinox
8	"escalade
12	"escape
7	"escape-se,
10	"explorer
1	"express
52	"f-150
4	"f-250
12	"f-350
2	"f150,
1	"f250,
4	"f350,
2	"f450
1	"fit
1	"fit,
1	"fit,civic,corolla"
4	"fj
1	"forester
5	"forte
4	"forte5
1	"frontier,
1	"g3500
1	"genesis
1	"glk250
3	"grand
12	"gt
1	"hiace
5	"highlander
1	"hse**v8,"
2	"impreza
1	"international
1	"jetta
1	"journey
18	"land
1	"ls460l,
15	"macan
9	"malibu
3	"malibu,
1	"marineer,premier"
8	"mark
1	"mazda3
1	"metris
1	"mirage
1	"mkz,
1	"ml350,
1	"murano
1	"mustang,
